x_pri,y_pri,z_pri,rng_pri,x_sec,y_sec,z_sec,rng_sec,pri_coarse,pri_fine,sec_coarse,sec_fine,pri_utc,sec_utc
-134,-18,-245,2,-468,145,-286,2,497857222,29837,497857222,29839,2025-10-11 05:40:22.455276+00:00,2025-10-11 05:40:22.455307+00:00
279,243,-239,2,-53,407,-279,2,497857226,29835,497857226,29836,2025-10-11 05:40:26.455246+00:00,2025-10-11 05:40:26.455261+00:00
-12,645,-239,2,-344,810,-277,2,497857230,29832,497857230,29834,2025-10-11 05:40:30.455200+00:00,2025-10-11 05:40:30.455231+00:00
-381,298,-239,2,-714,461,-277,2,497857234,29830,497857234,29832,2025-10-11 05:40:34.455170+00:00,2025-10-11 05:40:34.455200+00:00
-22,-38,-242,2,-356,125,-283,2,497857238,29828,497857238,29829,2025-10-11 05:40:38.455139+00:00,2025-10-11 05:40:38.455154+00:00
294,365,-241,2,-38,530,-282,2,497857242,29826,497857242,29827,2025-10-11 05:40:42.455109+00:00,2025-10-11 05:40:42.455124+00:00
-116,642,-233,2,-448,807,-269,2,497857246,29823,497857246,29825,2025-10-11 05:40:46.455063+00:00,2025-10-11 05:40:46.455093+00:00
-364,201,-229,2,-696,364,-268,2,497857250,29821,497857250,29823,2025-10-11 05:40:50.455032+00:00,2025-10-11 05:40:50.455063+00:00
92,-17,-233,2,-241,144,-276,2,497857254,29818,497857254,29820,2025-10-11 05:40:54.454987+00:00,2025-10-11 05:40:54.455017+00:00
271,460,-234,2,-62,623,-273,2,497857258,29816,497857258,29818,2025-10-11 05:40:58.454956+00:00,2025-10-11 05:40:58.454987+00:00
-232,603,-230,2,-562,766,-267,2,497857262,29814,497857262,29816,2025-10-11 05:41:02.454926+00:00,2025-10-11 05:41:02.454956+00:00
-293,79,-227,2,-625,240,-267,2,497857266,29811,497857266,29813,2025-10-11 05:41:06.454880+00:00,2025-10-11 05:41:06.454910+00:00
217,90,-228,2,-117,253,-270,2,497857270,29809,497857270,29811,2025-10-11 05:41:10.454849+00:00,2025-10-11 05:41:10.454880+00:00
102,620,-227,2,-230,784,-266,2,497857274,29807,497857274,29808,2025-10-11 05:41:14.454819+00:00,2025-10-11 05:41:14.454834+00:00
-134,-18,-245,2,-468,145,-286,2,497857222,29837,497857222,29839,2025-10-11 05:40:22.455276+00:00,2025-10-11 05:40:22.455307+00:00
279,243,-239,2,-53,407,-279,2,497857226,29835,497857226,29836,2025-10-11 05:40:26.455246+00:00,2025-10-11 05:40:26.455261+00:00
-12,645,-239,2,-344,810,-277,2,497857230,29832,497857230,29834,2025-10-11 05:40:30.455200+00:00,2025-10-11 05:40:30.455231+00:00
-381,298,-239,2,-714,461,-277,2,497857234,29830,497857234,29832,2025-10-11 05:40:34.455170+00:00,2025-10-11 05:40:34.455200+00:00
-22,-38,-242,2,-356,125,-283,2,497857238,29828,497857238,29829,2025-10-11 05:40:38.455139+00:00,2025-10-11 05:40:38.455154+00:00
294,365,-241,2,-38,530,-282,2,497857242,29826,497857242,29827,2025-10-11 05:40:42.455109+00:00,2025-10-11 05:40:42.455124+00:00
-116,642,-233,2,-448,807,-269,2,497857246,29823,497857246,29825,2025-10-11 05:40:46.455063+00:00,2025-10-11 05:40:46.455093+00:00
-364,201,-229,2,-696,364,-268,2,497857250,29821,497857250,29823,2025-10-11 05:40:50.455032+00:00,2025-10-11 05:40:50.455063+00:00
92,-17,-233,2,-241,144,-276,2,497857254,29818,497857254,29820,2025-10-11 05:40:54.454987+00:00,2025-10-11 05:40:54.455017+00:00
271,460,-234,2,-62,623,-273,2,497857258,29816,497857258,29818,2025-10-11 05:40:58.454956+00:00,2025-10-11 05:40:58.454987+00:00
-232,603,-230,2,-562,766,-267,2,497857262,29814,497857262,29816,2025-10-11 05:41:02.454926+00:00,2025-10-11 05:41:02.454956+00:00
-293,79,-227,2,-625,240,-267,2,497857266,29811,497857266,29813,2025-10-11 05:41:06.454880+00:00,2025-10-11 05:41:06.454910+00:00
217,90,-228,2,-117,253,-270,2,497857270,29809,497857270,29811,2025-10-11 05:41:10.454849+00:00,2025-10-11 05:41:10.454880+00:00
102,620,-227,2,-230,784,-266,2,497857274,29807,497857274,29808,2025-10-11 05:41:14.454819+00:00,2025-10-11 05:41:14.454834+00:00
